StudentID,Year,Branch,Gender,CGPA,Backlogs,Internships,Projects,Certifications,AptitudeScore,CommunicationSkill,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,Salary_INR,CompanyName,JobCity
22,2024,CSE,Female,7.94,0,2,0,1,67,Good,Yes,70,61,Placed,837927.0,Mindtree,Hyderabad
23,2022,CSE,Male,7.98,1,1,3,1,60,Good,Yes,97,78,Placed,835674.0,Wipro,Noida
24,2021,ECE,Male,8.39,0,2,2,1,55,Excellent,Yes,85,59,Placed,848378.0,HCL,Delhi
25,2023,ECE,Male,8.01,0,0,1,0,99,Average,Yes,81,75,Placed,817360.0,Mphasis,Mumbai
26,2021,EE,Male,7.7,1,1,1,2,93,Good,No,87,82,Placed,860981.0,Infosys,Gurugram
27,2023,CSE,Male,6.64,2,2,2,3,55,Good,No,83,72,Placed,787673.0,Ola,Hyderabad
28,2024,ME,Male,6.43,0,0,3,2,74,Average,No,62,78,Placed,711280.0,Hexaware,Hyderabad
29,2021,ME,Female,7.1,0,1,1,1,56,Excellent,Yes,87,86,Placed,803679.0,Ola,Mumbai
30,2022,CSE,Male,7.87,0,1,2,0,48,Average,Yes,95,87,Placed,761852.0,Mphasis,Chennai
31,2021,ME,Male,6.3,0,3,0,1,96,Average,Yes,73,64,Placed,794857.0,Wipro,Bangalore
32,2021,CSE,Female,9.49,0,0,2,3,74,Good,Yes,75,63,Placed,794076.0,Tech Mahindra,Mumbai
33,2021,CSE,Female,8.86,0,1,4,1,91,Good,Yes,95,87,Placed,868161.0,Wipro,Chennai
34,2024,BioTech,Male,7.68,1,0,3,0,68,Average,Yes,75,87,Not Placed,,,
35,2022,BioTech,Male,7.26,0,1,1,1,78,Average,No,79,61,Placed,578333.0,HCL,Noida
36,2021,EE,Male,7.35,0,0,2,4,57,Excellent,No,96,58,Placed,729840.0,Capgemini,Gurugram
37,2022,ECE,Male,6.83,0,0,1,2,51,Average,Yes,77,82,Placed,557148.0,Mphasis,Pune
38,2024,CSE,Female,7.85,1,1,2,3,58,Good,Yes,65,77,Placed,692254.0,Mphasis,Delhi
39,2023,CE,Male,7.41,0,2,3,2,87,Good,No,87,86,Placed,735740.0,IBM,Mumbai
40,2021,ECE,Male,6.63,1,0,3,2,61,Good,Yes,74,70,Not Placed,,,
41,2022,CSE,Female,8.03,0,0,1,0,98,Excellent,Yes,79,64,Placed,889444.0,Wipro,Pune
42,2022,ECE,Male,7.39,0,2,3,1,95,Good,Yes,80,68,Placed,878100.0,Ola,Chennai
43,2024,CSE,Male,6.46,0,1,2,2,88,Good,Yes,94,93,Placed,838337.0,Accenture,Gurugram
44,2021,IT,Male,7.2,0,2,1,3,91,Good,Yes,66,90,Placed,904225.0,Hexaware,Mumbai
45,2023,CSE,Female,7.51,0,0,2,1,54,Good,No,86,88,Placed,673942.0,Ola,Chennai
46,2022,CE,Male,8.71,0,1,2,0,40,Good,No,87,78,Placed,687042.0,Mindtree,Bangalore
47,2021,ECE,Female,7.89,0,0,2,2,41,Excellent,Yes,64,72,Placed,832628.0,Tech Mahindra,Bangalore
48,2023,ME,Male,6.13,1,0,2,1,47,Average,Yes,58,70,Placed,514717.0,Mindtree,Noida
49,2022,ME,Male,7.59,0,1,2,2,61,Average,No,69,95,Placed,742384.0,Capgemini,Hyderabad
50,2022,CSE,Female,6.72,0,1,1,1,64,Average,Yes,60,91,Not Placed,,,
51,2023,BioTech,Female,8.07,0,2,3,1,41,Poor,Yes,81,95,Placed,744846.0,IBM,Delhi
52,2023,EE,Female,7.17,1,1,2,1,90,Poor,Yes,59,79,Not Placed,,,
53,2024,IT,Female,7.73,3,1,1,2,48,Excellent,Yes,59,62,Placed,827930.0,IBM,Gurugram
54,2021,IT,Female,8.73,0,1,3,2,48,Good,No,72,78,Placed,830501.0,Hexaware,Gurugram
55,2021,ME,Male,6.17,0,3,4,1,52,Good,No,82,74,Placed,686304.0,Cognizant,Mumbai
56,2024,IT,Male,6.82,0,0,4,3,45,Good,Yes,89,84,Placed,744114.0,Cognizant,Chennai
57,2022,CSE,Female,7.39,2,0,1,0,69,Excellent,Yes,76,74,Not Placed,,,
58,2023,CSE,Male,8.53,1,1,1,0,54,Good,Yes,88,72,Placed,701302.0,Ola,Mumbai
59,2023,CSE,Female,6.74,0,1,2,2,90,Excellent,Yes,58,58,Placed,906484.0,Amazon,Noida
60,2023,ECE,Female,5.52,0,0,1,0,92,Average,No,72,90,Not Placed,,,
61,2022,ECE,Male,7.18,0,2,4,2,54,Excellent,No,95,60,Placed,820219.0,Mphasis,Chennai
62,2023,CSE,Male,8.19,0,0,1,4,89,Good,Yes,80,57,Placed,801050.0,Cognizant,Gurugram
63,2023,IT,Female,8.64,1,2,1,2,46,Average,No,96,72,Placed,788950.0,Wipro,Bangalore
64,2024,ECE,Male,7.18,0,0,2,2,97,Good,No,76,94,Placed,739975.0,HCL,Pune
65,2022,CSE,Female,7.51,0,1,1,2,50,Good,No,87,72,Placed,754029.0,Accenture,Noida
66,2021,ME,Male,8.12,1,2,3,1,79,Average,Yes,97,77,Not Placed,,,
67,2024,CSE,Female,6.49,1,0,2,1,77,Good,Yes,68,89,Placed,756482.0,Wipro,Noida
68,2024,EE,Male,7.23,0,3,1,1,79,Average,No,85,60,Placed,804284.0,Hexaware,Gurugram
69,2021,CSE,Female,7.93,1,1,1,4,41,Poor,Yes,64,80,Not Placed,,,
70,2024,BioTech,Male,7.56,0,3,2,1,90,Excellent,No,78,75,Placed,835668.0,Paytm,Mumbai
71,2022,EE,Male,7.14,2,1,1,1,87,Good,No,75,78,Not Placed,,,
72,2023,CSE,Male,7.82,1,1,2,3,78,Excellent,No,62,69,Placed,818742.0,Ola,Bangalore
73,2022,CSE,Female,6.06,0,0,2,2,49,Good,Yes,86,81,Placed,709546.0,HCL,Mumbai
74,2021,EE,Female,7.04,1,1,2,4,83,Average,No,85,86,Placed,639481.0,Mindtree,Hyderabad
75,2021,CE,Male,7.56,2,0,4,2,56,Good,Yes,88,66,Placed,707025.0,L&T Infotech,Noida
76,2024,EE,Male,6.81,0,0,3,1,46,Good,No,77,59,Not Placed,,,
77,2022,EE,Male,7.54,0,0,4,3,93,Excellent,Yes,79,61,Placed,784923.0,Accenture,Gurugram
78,2022,CSE,Female,8.11,1,1,1,1,79,Average,Yes,61,76,Placed,804392.0,TCS,Mumbai
79,2021,ECE,Female,7.26,0,2,1,1,78,Excellent,No,73,81,Placed,967588.0,Paytm,Pune
80,2022,CSE,Male,7.92,0,0,1,2,43,Excellent,Yes,61,69,Placed,760287.0,Paytm,Hyderabad
81,2021,IT,Male,7.13,2,0,3,2,74,Good,Yes,62,93,Placed,874646.0,L&T Infotech,Chennai
82,2022,CE,Male,7.03,1,1,4,3,90,Excellent,No,68,89,Placed,821532.0,Cognizant,Delhi
83,2022,ECE,Male,7.93,0,0,3,4,86,Average,Yes,55,80,Placed,662403.0,Accenture,Bangalore
84,2022,CSE,Male,7.91,0,0,1,3,75,Excellent,Yes,67,77,Placed,860869.0,Mindtree,Gurugram
85,2021,ECE,Female,7.09,0,0,4,0,70,Good,Yes,57,67,Not Placed,,,
86,2024,ECE,Male,7.66,0,2,2,2,64,Poor,No,82,80,Placed,806999.0,TCS,Hyderabad
87,2022,EE,Female,8.0,0,2,0,2,80,Excellent,Yes,92,57,Placed,827654.0,Mphasis,Mumbai
88,2021,CE,Male,5.56,1,1,2,4,52,Good,Yes,69,83,Placed,660959.0,Tech Mahindra,Bangalore
89,2021,IT,Male,8.61,0,1,0,1,57,Good,Yes,90,56,Placed,862841.0,Tech Mahindra,Hyderabad
90,2022,ECE,Female,7.26,0,1,2,1,60,Good,Yes,57,82,Placed,688393.0,Wipro,Gurugram
91,2022,CSE,Female,8.1,0,1,1,3,87,Average,Yes,58,77,Placed,752320.0,Wipro,Pune
92,2024,CE,Female,8.16,3,1,2,1,40,Good,Yes,59,90,Placed,742745.0,Cognizant,Gurugram
93,2021,EE,Male,6.54,0,1,2,2,75,Excellent,Yes,80,60,Placed,748759.0,Ola,Pune
94,2021,ME,Male,6.63,0,0,3,1,89,Poor,Yes,79,65,Not Placed,,,
95,2023,EE,Female,7.3,0,0,2,1,47,Average,Yes,64,92,Placed,625313.0,Capgemini,Noida
96,2021,ECE,Male,6.95,0,1,2,2,91,Poor,No,62,88,Not Placed,,,
97,2024,ME,Male,8.59,0,2,3,1,87,Good,Yes,66,71,Placed,742277.0,IBM,Chennai
98,2023,ECE,Male,6.9,0,1,3,2,60,Good,Yes,57,57,Placed,643926.0,L&T Infotech,Noida
99,2023,CSE,Male,7.41,0,2,1,0,82,Good,Yes,81,88,Placed,852785.0,Mphasis,Gurugram
100,2023,CSE,Female,7.94,0,3,2,1,91,Excellent,Yes,77,76,Placed,979153.0,Paytm,Gurugram
101,2022,CSE,Male,6.96,0,0,1,1,92,Good,No,94,83,Not Placed,,,
102,2022,CE,Male,6.88,0,1,0,2,92,Average,No,87,83,Not Placed,,,
103,2021,ECE,Male,7.72,0,1,2,1,60,Excellent,Yes,68,59,Placed,833447.0,HCL,Chennai
104,2023,ME,Male,6.93,0,3,3,2,66,Good,Yes,77,64,Placed,815156.0,Tech Mahindra,Hyderabad
105,2024,IT,Male,7.73,0,3,1,2,58,Good,Yes,85,64,Placed,927265.0,Mindtree,Bangalore
106,2022,CSE,Male,7.43,0,1,3,2,62,Good,Yes,67,63,Placed,726554.0,Ola,Chennai
107,2024,ECE,Male,6.44,1,0,3,2,90,Excellent,No,66,75,Placed,850846.0,Tech Mahindra,Bangalore
108,2024,EE,Female,7.73,0,2,3,1,89,Good,Yes,89,67,Placed,799325.0,Wipro,Bangalore
109,2022,CSE,Male,9.03,0,0,1,1,90,Average,Yes,72,64,Placed,698891.0,Tech Mahindra,Hyderabad
110,2022,CSE,Male,7.81,0,2,3,2,82,Good,Yes,75,92,Placed,898191.0,Infosys,Delhi
111,2022,CSE,Female,7.96,3,2,1,0,74,Poor,Yes,96,65,Not Placed,,,
112,2022,CSE,Female,8.28,2,1,2,3,79,Average,No,55,58,Not Placed,,,
113,2023,IT,Male,6.91,0,1,0,3,91,Good,Yes,92,85,Placed,843272.0,Wipro,Chennai
114,2023,EE,Male,8.69,0,1,0,1,90,Average,No,95,88,Placed,797884.0,Capgemini,Gurugram
115,2023,CE,Male,7.36,0,1,2,2,81,Poor,Yes,96,96,Placed,676891.0,IBM,Pune
116,2023,IT,Female,8.94,0,1,2,3,87,Average,Yes,63,89,Placed,828006.0,Zomato,Chennai
117,2021,EE,Female,6.99,0,2,1,1,44,Good,Yes,77,93,Placed,698322.0,Zomato,Noida
118,2023,CSE,Female,9.07,1,3,1,2,91,Excellent,No,68,93,Placed,1009567.0,IBM,Hyderabad
119,2022,IT,Male,8.34,0,3,2,0,80,Excellent,Yes,65,87,Placed,1009546.0,HCL,Noida
120,2024,ME,Female,7.64,2,0,0,2,47,Average,Yes,61,62,Not Placed,,,
121,2023,EE,Male,7.66,0,2,3,3,50,Good,No,85,86,Placed,781907.0,Mphasis,Noida
122,2021,IT,Male,7.63,1,1,0,2,55,Excellent,Yes,78,87,Placed,898100.0,Amazon,Gurugram
123,2022,ECE,Male,8.34,1,0,1,2,78,Average,No,80,62,Not Placed,,,
124,2024,CSE,Female,7.9,0,0,1,3,86,Good,Yes,84,68,Placed,767617.0,Infosys,Hyderabad
125,2024,CSE,Male,6.42,0,0,2,2,63,Good,No,88,88,Placed,676770.0,Infosys,Noida
126,2023,ECE,Female,6.72,0,2,1,2,60,Poor,Yes,92,62,Not Placed,,,
127,2024,EE,Male,7.37,0,1,1,2,91,Excellent,No,59,96,Not Placed,,,
128,2023,IT,Male,8.02,0,1,4,2,62,Excellent,No,59,61,Placed,801754.0,Mindtree,Hyderabad
129,2023,CSE,Male,7.76,0,0,2,3,88,Poor,Yes,73,67,Placed,672670.0,Tech Mahindra,Chennai
130,2022,ME,Male,8.18,0,1,0,4,77,Poor,No,92,75,Placed,672188.0,IBM,Gurugram
131,2022,ECE,Female,6.13,2,0,2,2,86,Poor,No,82,86,Not Placed,,,
132,2021,CSE,Male,7.9,0,1,3,2,47,Average,Yes,80,65,Placed,849213.0,Cognizant,Noida
133,2022,CSE,Female,6.53,3,1,1,0,46,Good,Yes,96,68,Placed,697530.0,Accenture,Mumbai
134,2022,ECE,Female,8.03,0,0,0,3,41,Good,Yes,77,65,Placed,743516.0,Flipkart,Chennai
135,2023,BioTech,Female,7.12,1,2,3,2,69,Average,No,84,56,Placed,701074.0,Wipro,Gurugram
136,2022,ECE,Male,7.79,0,0,2,2,52,Excellent,No,57,88,Placed,766319.0,Ola,Hyderabad
137,2023,ME,Male,6.51,0,1,2,1,62,Average,Yes,82,71,Placed,641369.0,Infosys,Bangalore
138,2023,CE,Male,8.22,2,1,0,3,68,Poor,Yes,87,68,Placed,774075.0,Wipro,Chennai
139,2022,ECE,Female,8.23,0,1,1,0,77,Average,Yes,96,79,Placed,743880.0,Accenture,Noida
140,2021,BioTech,Female,7.67,1,0,2,1,76,Good,Yes,57,81,Placed,690915.0,Zomato,Gurugram
141,2021,BioTech,Male,7.1,0,0,1,2,59,Good,Yes,59,62,Placed,652662.0,IBM,Noida
142,2024,CSE,Female,8.21,0,2,2,2,72,Average,Yes,73,71,Placed,835887.0,Infosys,Pune
143,2024,ECE,Male,7.01,0,0,2,1,68,Average,Yes,96,59,Placed,662269.0,Hexaware,Bangalore
144,2022,ECE,Female,8.1,1,2,1,2,89,Excellent,Yes,55,66,Placed,860163.0,Hexaware,Mumbai
145,2021,CSE,Male,8.95,0,3,4,1,54,Excellent,No,92,92,Placed,1036323.0,Flipkart,Mumbai
146,2023,CSE,Female,8.55,1,0,3,0,62,Average,No,63,72,Placed,762348.0,Amazon,Gurugram
147,2024,ME,Male,6.62,2,0,2,1,81,Average,No,59,80,Not Placed,,,
148,2023,ME,Female,7.49,0,1,0,3,42,Good,No,96,85,Placed,748282.0,Cognizant,Chennai
149,2024,CSE,Female,6.89,0,3,1,1,76,Good,Yes,88,91,Placed,849320.0,L&T Infotech,Chennai
150,2022,CSE,Female,8.2,1,2,2,0,95,Average,Yes,91,60,Placed,649014.0,Infosys,Bangalore
151,2021,IT,Male,8.12,0,1,1,2,68,Excellent,Yes,87,95,Placed,821247.0,Mindtree,Bangalore
152,2024,CSE,Male,6.49,0,2,4,1,84,Good,No,79,69,Placed,846096.0,Infosys,Gurugram
153,2021,CSE,Male,6.99,0,0,1,2,47,Good,No,96,96,Placed,668458.0,Paytm,Pune
154,2023,ECE,Male,7.3,0,3,2,3,61,Good,No,83,80,Placed,838285.0,Infosys,Hyderabad
155,2022,BioTech,Male,6.96,0,3,1,3,92,Excellent,No,79,66,Placed,837529.0,Accenture,Hyderabad
156,2021,CSE,Female,6.95,0,0,2,1,68,Good,Yes,63,95,Placed,683536.0,Wipro,Chennai
157,2022,CE,Male,7.51,1,0,1,2,41,Poor,Yes,57,68,Not Placed,,,
158,2021,EE,Male,7.68,0,0,2,2,80,Average,Yes,69,55,Placed,703220.0,Hexaware,Hyderabad
159,2023,CSE,Male,7.66,0,0,1,1,88,Good,Yes,58,71,Placed,765577.0,Tech Mahindra,Bangalore
160,2023,EE,Male,6.97,3,2,3,0,98,Average,Yes,92,87,Placed,709819.0,Wipro,Noida
161,2022,ECE,Female,8.23,1,1,0,1,89,Good,No,74,83,Placed,847686.0,Paytm,Delhi
162,2023,CE,Male,8.52,1,0,3,0,84,Excellent,Yes,77,85,Placed,862079.0,Capgemini,Chennai
163,2024,CE,Female,6.81,0,1,3,4,40,Good,Yes,91,62,Not Placed,,,
164,2021,ME,Male,6.71,1,3,1,2,83,Excellent,Yes,62,84,Placed,900127.0,Mindtree,Chennai
165,2023,CSE,Female,8.14,0,1,3,1,59,Average,Yes,91,67,Placed,690093.0,Capgemini,Noida
166,2024,IT,Female,7.55,0,1,0,1,91,Excellent,Yes,87,70,Placed,878174.0,Cognizant,Mumbai
167,2022,ECE,Male,7.4,0,0,4,4,60,Good,Yes,87,56,Placed,685950.0,Flipkart,Delhi
168,2024,CSE,Female,8.32,0,3,2,1,76,Average,Yes,61,72,Placed,860369.0,Wipro,Bangalore
169,2022,CSE,Male,6.46,1,2,1,2,47,Good,No,76,89,Placed,797875.0,Flipkart,Hyderabad
170,2022,ME,Female,8.25,0,0,1,1,66,Average,Yes,59,73,Placed,822824.0,Wipro,Chennai
171,2021,CE,Male,7.26,1,0,0,3,86,Good,Yes,69,67,Placed,708000.0,Paytm,Mumbai
172,2021,CSE,Female,7.51,1,0,4,2,98,Good,No,75,58,Placed,819298.0,Cognizant,Delhi
173,2024,ME,Female,7.13,0,0,0,0,74,Average,No,79,73,Placed,639342.0,Wipro,Chennai
174,2021,CSE,Female,7.77,0,1,2,1,45,Good,No,71,79,Placed,728161.0,Mphasis,Mumbai
175,2021,CE,Female,5.82,0,2,2,2,99,Good,Yes,61,92,Not Placed,,,
176,2021,CSE,Male,8.85,0,1,4,3,84,Average,Yes,73,85,Placed,754019.0,Accenture,Gurugram
177,2024,CE,Male,7.23,0,2,1,0,83,Poor,Yes,61,90,Not Placed,,,
178,2023,ECE,Male,7.81,3,1,2,2,58,Good,Yes,94,58,Not Placed,,,
179,2021,IT,Male,8.47,0,1,2,1,57,Good,No,78,93,Placed,874978.0,Ola,Mumbai
180,2021,CSE,Female,7.09,0,1,2,3,95,Excellent,Yes,65,61,Placed,957444.0,Paytm,Bangalore
181,2024,ECE,Male,7.83,2,0,0,2,40,Excellent,Yes,95,70,Placed,843649.0,Ola,Mumbai
182,2023,CSE,Female,7.61,0,1,1,1,64,Good,Yes,55,59,Placed,694340.0,HCL,Pune
183,2021,IT,Female,8.39,1,1,1,1,66,Good,Yes,86,77,Placed,816239.0,Capgemini,Hyderabad
184,2022,IT,Female,6.31,0,0,2,0,46,Good,Yes,94,90,Placed,764118.0,HCL,Pune
185,2024,CSE,Male,7.73,0,1,1,2,83,Good,No,56,86,Placed,781023.0,Capgemini,Mumbai
186,2021,CE,Female,6.72,0,1,2,1,81,Average,No,69,78,Not Placed,,,
187,2021,EE,Female,7.8,0,3,1,1,68,Average,No,75,79,Not Placed,,,
188,2022,ME,Male,7.58,0,1,3,4,70,Good,Yes,78,82,Placed,818058.0,IBM,Delhi
189,2022,ME,Female,6.63,1,2,4,1,83,Poor,Yes,71,73,Placed,737156.0,IBM,Mumbai
190,2024,CSE,Female,7.3,0,1,2,2,82,Good,Yes,63,61,Placed,791535.0,Paytm,Gurugram
191,2024,CSE,Male,7.72,2,2,1,1,75,Excellent,Yes,89,95,Not Placed,,,
192,2022,IT,Male,7.17,0,1,1,0,58,Average,No,74,71,Placed,674596.0,Capgemini,Bangalore
193,2024,IT,Male,8.39,0,2,0,1,45,Good,Yes,73,56,Placed,833785.0,Wipro,Noida
194,2022,CE,Male,6.9,0,1,1,2,64,Excellent,No,72,70,Placed,892781.0,Capgemini,Bangalore
195,2021,ECE,Male,5.47,2,1,2,2,70,Good,Yes,74,93,Placed,718820.0,TCS,Delhi
196,2022,ECE,Male,7.24,0,1,2,3,48,Average,Yes,84,72,Placed,640384.0,Cognizant,Mumbai
197,2022,EE,Male,6.77,0,1,4,1,59,Average,Yes,94,93,Not Placed,,,
198,2023,IT,Male,6.66,2,0,1,1,49,Good,Yes,55,55,Not Placed,,,
199,2022,IT,Female,6.93,0,0,2,3,76,Good,No,78,57,Placed,705741.0,Accenture,Gurugram
200,2022,EE,Male,7.58,2,0,2,1,66,Average,Yes,78,75,Not Placed,,,
201,2023,CE,Female,8.26,0,2,2,1,52,Average,No,73,84,Placed,707163.0,Ola,Noida
202,2024,CSE,Male,8.02,1,0,1,0,80,Excellent,No,84,65,Placed,942212.0,Ola,Bangalore
203,2023,CSE,Male,7.38,2,0,2,2,41,Good,Yes,80,76,Not Placed,,,
204,2021,IT,Male,8.12,1,1,2,3,89,Excellent,No,96,79,Placed,913475.0,HCL,Hyderabad
205,2023,ME,Male,6.83,0,1,2,0,60,Good,Yes,92,57,Not Placed,,,
206,2021,CSE,Male,7.31,0,1,4,1,72,Excellent,No,83,84,Placed,839614.0,Cognizant,Bangalore
207,2024,CSE,Female,6.99,2,0,1,2,63,Average,No,67,78,Not Placed,,,
208,2023,CE,Male,5.8,0,3,0,3,92,Good,No,58,90,Placed,840953.0,Mphasis,Pune
209,2023,CSE,Female,7.53,0,2,2,1,83,Poor,Yes,71,77,Placed,788770.0,Amazon,Pune
210,2024,CSE,Female,7.91,1,2,2,3,81,Good,Yes,87,62,Placed,843323.0,Infosys,Mumbai
211,2021,ME,Male,7.12,0,1,1,1,73,Good,Yes,59,58,Placed,777456.0,Mphasis,Bangalore
212,2023,CE,Male,6.87,0,2,3,1,99,Average,Yes,82,93,Placed,819713.0,Mphasis,Chennai
213,2021,CE,Female,6.44,0,0,4,0,48,Excellent,No,78,97,Not Placed,,,
214,2023,CSE,Male,8.23,0,0,4,1,41,Excellent,No,71,85,Not Placed,,,
215,2022,CE,Male,6.15,0,0,1,1,94,Poor,Yes,93,83,Not Placed,,,
216,2023,CSE,Female,8.34,1,1,3,3,95,Good,Yes,94,90,Placed,824196.0,Tech Mahindra,Hyderabad
217,2024,ECE,Male,6.8,0,1,2,1,69,Average,Yes,65,67,Placed,678174.0,Mphasis,Noida
218,2024,EE,Female,6.97,1,1,2,1,61,Good,Yes,66,95,Placed,600911.0,Cognizant,Chennai
219,2021,CE,Female,6.03,2,0,2,0,85,Excellent,Yes,67,63,Not Placed,,,
220,2023,IT,Male,7.45,1,1,3,2,50,Average,Yes,62,75,Placed,737489.0,Accenture,Pune
221,2021,CE,Male,7.98,0,1,2,3,94,Excellent,No,55,57,Placed,721386.0,Amazon,Bangalore
222,2021,ME,Male,7.61,1,1,1,1,82,Average,Yes,63,79,Placed,715415.0,Accenture,Delhi
223,2022,CSE,Male,8.48,0,1,2,1,56,Good,Yes,82,79,Placed,861809.0,Amazon,Chennai
224,2022,ECE,Male,7.87,0,0,2,0,75,Good,No,56,66,Placed,735861.0,Capgemini,Pune
225,2024,CSE,Female,7.03,1,2,1,1,52,Average,Yes,68,83,Placed,779188.0,HCL,Noida
226,2021,CSE,Male,7.57,0,1,3,0,46,Average,Yes,67,65,Placed,729668.0,Infosys,Gurugram
227,2024,BioTech,Male,6.58,2,0,2,2,55,Excellent,No,56,65,Not Placed,,,
228,2023,ECE,Female,8.43,0,0,2,2,72,Good,No,58,80,Placed,752525.0,Tech Mahindra,Chennai
229,2021,IT,Female,6.96,1,1,0,2,84,Average,Yes,66,68,Placed,773995.0,Flipkart,Delhi
230,2021,CE,Female,7.91,0,2,2,1,40,Good,Yes,64,70,Placed,843949.0,L&T Infotech,Chennai
231,2023,EE,Male,8.13,2,1,1,1,50,Poor,No,57,64,Not Placed,,,
232,2023,ME,Female,8.66,0,0,0,2,45,Average,No,58,85,Placed,606338.0,Tech Mahindra,Bangalore
233,2024,ME,Male,6.87,0,2,2,2,59,Good,Yes,60,85,Placed,742593.0,IBM,Noida
234,2024,ECE,Male,8.0,0,1,2,0,74,Poor,Yes,77,90,Placed,687440.0,Mindtree,Mumbai
235,2023,CSE,Male,9.4,0,1,2,3,83,Excellent,Yes,59,64,Placed,884303.0,Wipro,Mumbai
236,2024,EE,Female,7.07,0,1,0,1,76,Good,Yes,57,80,Not Placed,,,
237,2023,CSE,Male,6.73,0,0,2,1,80,Excellent,Yes,64,74,Placed,845734.0,Mphasis,Noida
238,2021,CSE,Male,6.48,0,1,1,0,65,Good,Yes,97,63,Placed,892583.0,Ola,Delhi
239,2021,CE,Male,7.77,0,1,4,4,97,Excellent,Yes,73,69,Placed,892621.0,TCS,Hyderabad
240,2022,CSE,Male,6.48,0,3,2,1,51,Good,No,68,63,Placed,818406.0,Capgemini,Pune
241,2021,BioTech,Female,6.9,1,1,2,3,69,Good,Yes,75,61,Placed,686186.0,Capgemini,Bangalore
242,2023,BioTech,Female,7.55,1,1,1,1,67,Excellent,No,97,80,Placed,906140.0,HCL,Noida
243,2024,IT,Female,7.93,1,1,0,1,66,Good,No,82,78,Not Placed,,,
244,2022,ECE,Male,7.8,1,2,4,2,81,Poor,Yes,75,66,Placed,811833.0,Mphasis,Delhi
245,2024,CSE,Male,7.96,0,2,1,0,58,Good,No,90,74,Not Placed,,,
246,2023,IT,Male,8.7,0,1,2,1,44,Excellent,No,78,68,Not Placed,,,
247,2021,ECE,Male,6.83,0,1,2,1,97,Good,Yes,92,76,Placed,835516.0,Amazon,Hyderabad
248,2022,BioTech,Male,6.66,1,1,0,3,44,Good,Yes,71,70,Placed,801661.0,Hexaware,Chennai
249,2023,BioTech,Female,6.58,3,1,3,2,80,Good,Yes,76,83,Placed,689216.0,Capgemini,Bangalore
250,2022,IT,Male,8.38,0,0,2,1,66,Excellent,No,73,86,Placed,868204.0,Amazon,Bangalore
251,2022,CSE,Male,8.43,0,1,1,1,67,Poor,Yes,64,73,Placed,793182.0,Paytm,Chennai
252,2021,ECE,Male,7.82,0,0,0,2,65,Good,Yes,65,89,Placed,701241.0,Mphasis,Noida
253,2023,IT,Male,8.63,0,2,1,1,66,Average,No,92,97,Not Placed,,,
254,2024,ECE,Male,6.68,0,1,3,1,91,Good,Yes,56,86,Placed,703947.0,Wipro,Delhi
